Brand,Model,Variant,Year,Km_Driven,Fuel,Seller_Type,Transmission,Owner,Selling_Price
12,5,546,2007,70000,4,1,1,0,60000
12,547,657,2007,50000,4,1,1,0,135000
10,517,311,2012,100000,1,1,1,0,600000
5,369,659,2017,46000,4,1,1,0,250000
9,35,729,2014,141000,1,1,1,2,450000
12,23,568,2007,125000,4,1,1,0,140000
10,572,68,2016,25000,4,1,1,0,550000
19,266,664,2014,60000,4,1,1,2,240000
10,126,324,2015,25000,4,1,1,0,850000
12,85,708,2017,78000,0,1,1,0,365000
3,391,51,2015,35000,4,1,1,0,260000
19,266,664,2014,100000,4,1,1,0,250000
12,101,665,2015,24000,4,0,1,0,585000
10,513,596,2019,5000,1,0,1,0,1195000
3,169,508,2013,33000,1,1,1,2,390000
12,534,552,2018,4500,1,0,0,0,975000
9,109,654,2018,14500,4,0,1,0,930000
19,500,87,2018,15000,4,1,1,0,525000
18,452,384,2011,130400,1,0,0,2,450000
20,123,554,2016,50000,4,1,0,0,900000
13,134,444,2010,119000,4,0,0,0,850000
10,603,40,2014,60000,4,1,1,1,229999
10,152,674,2012,40000,1,1,1,0,625000
11,422,353,2014,50000,1,1,1,0,1050000
9,111,700,2014,74000,1,1,1,2,560000
12,555,545,2014,64000,4,1,1,2,290000
12,554,632,2012,60000,4,1,1,2,275000
11,422,642,2009,120000,1,1,1,2,411000
10,407,617,2009,79000,4,1,1,4,150000
10,224,63,2019,15000,4,1,1,0,500000
12,16,644,2006,80000,4,1,1,0,100000
12,465,661,2017,18500,1,0,1,0,725000
12,148,501,2018,10200,4,0,1,0,401000
10,614,162,2018,29000,1,0,1,0,750000
12,339,503,2018,28000,4,0,1,0,310000
12,482,569,2016,46000,1,0,1,0,665000
10,605,453,2014,70000,1,0,1,0,465000
12,16,644,2012,60000,4,1,1,2,160000
9,111,706,2014,90000,1,0,1,0,675000
12,554,632,2013,80000,4,0,1,0,300000
19,244,589,2005,80000,1,1,1,0,70000
10,143,665,2014,73300,4,0,1,2,240000
20,184,614,2014,92000,1,0,1,0,525000
12,16,644,2009,66764,4,0,1,2,151000
12,16,644,2009,100000,4,1,1,0,140000
11,422,355,2017,60000,1,1,1,0,570000
10,143,665,2018,31000,4,1,1,0,300000
19,264,595,2007,39000,1,1,1,0,100000
